Session,Scanner,Serial,Software,Gender,Age,Handedness(writing),,,Key:,,
006_ACT_001,1,[34065],[2.6.3\2.6.3.7],1,31,2,,,,,
006_ACT_002,1,[34065],[2.6.3\2.6.3.7],1,49,2,,,,,
006_ACT_008,1,[34065],[2.6.3\2.6.3.7],1,27,2,,,,,
006_GNX_010,1,[34065],[2.6.3\2.6.3.7],1,28,2,,,,,
006_GNX_017,1,[34065],[2.6.3\2.6.3.7],1,33,2,,,,,
006_GNX_020,1,[34065],[2.6.3\2.6.3.7],1,31,2,,,,,
006_TRM_001,1,[34065],[2.6.3\2.6.3.7],1,27,2,,,,,
006_TRM_007,1,[34065],[2.6.3\2.6.3.7],,,,,,,,
006_TRM_011,1,[34065],[2.6.3\2.6.3.7],1,35,2,,,,,
006_TRM_012,1,[34065],[2.6.3\2.6.3.7],1,30,2,,,,,
006_TRM_017,1,[34065],[2.6.3\2.6.3.7],1,27,2,,,,,
017_MPG_005,1,[34065],[3.2.2\3.2.2.0],1,29,1,,,,,
017_NA3_001,1,[34065],[3.2.2\3.2.2.0],1,26,2,,,,,
017_NA3_002,1,[34065],[3.2.2\3.2.2.0],2,20,2,,,,,
017_NA3_003,1,[34065],[3.2.2\3.2.2.0],2,20,2,,,,,
017_NA3_004,1,[34065],[3.2.2\3.2.2.0],1,26,2,,,,,
017_NA3_005,1,[34065],[3.2.2\3.2.2.0],1,30,2,,,,,
017_NA3_006,1,[34065],[3.2.2\3.2.2.0],1,53,2,,,,,
017_NA3_007,1,[34065],[3.2.2\3.2.2.0],2,48,2,,,,,
017_NA3_008,1,[34065],[3.2.2\3.2.2.0],2,57,2,,,,,
017_NA3_009,1,[34065],[3.2.2\3.2.2.0],2,52,2,,,,,
017_NA3_010,1,[34065],[3.2.2\3.2.2.0],2,34,2,,,,,
017_NA3_011,1,[34065],[3.2.2\3.2.2.0],1,18,2,,,,,
017_NA3_012,1,[34065],[3.2.2\3.2.2.0],1,30,1,,,,,
017_NA3_013,1,[34065],[3.2.2\3.2.2.0],2,54,3,,,,,
017_NA3_014,1,[34065],[3.2.2\3.2.2.0],2,25,2,,,,,
017_NA3_015,1,[34065],[3.2.2\3.2.2.0],1,47,2,,,,,
017_NA3_016,1,[34065],[3.2.2\3.2.2.0],2,52,2,,,,,
017_NA3_018,1,[34065],[3.2.2\3.2.2.0],2,57,2,,,,,
017_NA3_021,1,[34065],[3.2.2\3.2.2.0],1,38,2,,,,,
017_NA3_022,1,[34065],[3.2.2\3.2.2.0],1,31,2,,,,,
017_NA3_023,1,[34065],[3.2.2\3.2.2.0],2,36,2,,,,,
017_NA3_024,1,[34065],[3.2.2\3.2.2.0],2,18,2,,,,,
017_NA3_025,1,[34065],[3.2.2\3.2.2.0],2,18,2,,,,,
017_NA3_026,1,[34065],[3.2.2\3.2.2.0],1,34,2,,,,,
017_NAA_001,1,[34065],[2.6.3\2.6.3.7],1,24,2,,,,,
017_NAA_002,1,[34065],[2.6.3\2.6.3.7],1,43,2,,,,,
017_NAA_003,1,[34065],[2.6.3\2.6.3.7],1,23,,,,,,
017_NAA_004,1,[34065],[2.6.3\2.6.3.7],1,27,2,,,,,
017_NAA_005,1,[34065],[2.6.3\2.6.3.7],1,32,2,,,,,
017_NAA_006,1,[34065],[2.6.3\2.6.3.7],1,51,2,,,,,
017_NAA_007,1,[34065],[2.6.3\2.6.3.7],1,18,2,,,,,
017_NAA_008,1,[34065],[2.6.3\2.6.3.7],2,26,1,,,,,
017_NAA_009,1,[34065],[2.6.3\2.6.3.7],1,23,2,,,,,
017_NAA_010,1,[34065],[2.6.3\2.6.3.7],2,20,3,,,,,
017_NAA_011,1,[34065],[2.6.3\2.6.3.7],2,39,2,,,,,
017_NAA_012,1,[34065],[2.6.3\2.6.3.7],2,31,2,,,,,
017_NAA_013,1,[34065],[2.6.3\2.6.3.7],2,43,2,,,,,
017_NAA_014,1,[34065],[2.6.3\2.6.3.7],2,22,2,,,,,
017_NAA_015,1,[34065],[2.6.3\2.6.3.7],2,47,2,,,,,
017_NAA_017,1,[34065],[2.6.3\2.6.3.7],1,22,2,,,,,
017_NAA_018,1,[34065],[3.2.2\3.2.2.0],2,30,2,,,,,
017_NAA_019,1,[34065],[3.2.2\3.2.2.0],1,18,2,,,,,
017_NAA_020,1,[34065],[3.2.2\3.2.2.0],1,31,2,,,,,
017_NAA_021,1,[34065],[3.2.2\3.2.2.0],1,26,2,,,,,
017_NAA_023,1,[34065],[3.2.2\3.2.2.0],2,23,2,,,,,
017_NAA_024,1,[34065],[3.2.2\3.2.2.0],2,27,2,,,,,
017_NAA_025,1,[34065],[3.2.2\3.2.2.0],2,35,2,,,,,
017_NAA_027,1,[34065],[3.2.2\3.2.2.0],2,18,2,,,,,
017_NAA_028,1,[34065],[3.2.2\3.2.2.0],1,63,2,,,,,
017_NAA_029,1,[34065],[3.2.2\3.2.2.0],2,21,2,,,,,
017_NAA_030,1,[34065],[3.2.2\3.2.2.0],2,22,1,,,,,
018_MPG_001,2,[35311],[syngo,1,47,2,,,,,
018_MPG_003,2,[35311],[syngo,,,,,,,,
018_MPG_004,2,[35311],[syngo,2,54,,,,,,
018_MPG_009,2,[35311],[syngo,2,46,1,,,,,
018_MPG_014,2,[35311],[syngo,2,37,2,,,,,
018_MPG_015,2,[35311],[syngo,2,51,2,,,,,
018_MPG_016,2,[35311],[syngo,1,39,2,,,,,
023_NA3_001,2,[35311],[syngo,1,54,2,,,,,
023_NA3_002,2,[35311],[syngo,2,52,2,,,,,
023_NA3_003,2,[35311],[syngo,1,31,2,,,,,
023_NA3_004,2,[35311],[syngo,2,29,2,,,,,
023_NA3_005,2,[35311],[syngo,1,28,1,,,,,
023_NA3_006,2,[35311],[syngo,2,45,2,,,,,
023_NA3_007,2,[35311],[syngo,2,40,2,,,,,
023_NA3_008,2,[35311],[syngo,2,50,2,,,,,
023_NA3_009,2,[35311],[syngo,1,45,2,,,,,
023_NA3_010,2,[35311],[syngo,1,48,2,,,,,
023_NA3_011,2,[35311],[syngo,2,31,2,,,,,
023_NA3_012,2,[35311],[syngo,1,43,2,,,,,
023_NA3_013,2,[35311],[syngo,2,30,2,,,,,
023_NA3_014,2,[35311],[syngo,1,44,2,,,,,
023_NA3_015,2,[35311],[syngo,1,2,2,,,,,
023_NA3_016,2,[35311],[syngo,1,46,2,,,,,
023_NA3_017,2,[35311],[syngo,1,31,2,,,,,
023_NA3_018,2,[35311],[syngo,1,34,1,,,,,
023_NA3_019,2,[35311],[syngo,1,61,2,,,,,
023_NA3_020,2,[35311],[syngo,2,51,2,,,,,
023_NA3_024,2,[35311],[syngo,2,45,2,,,,,
023_NA3_025,2,[35311],[syngo,1,57,2,,,,,
023_NA3_027,2,[35311],[syngo,2,25,2,,,,,
023_NA3_029,2,[35311],[syngo,1,46,2,,,,,
023_NA3_030,2,[35311],[syngo,1,62,2,,,,,
023_NA3_031,2,[35311],[syngo,2,19,2,,,,,
023_NA3_032,2,[35311],[syngo,1,53,2,,,,,
023_NA3_033,2,[35311],[syngo,1,18,2,,,,,
023_NA3_034,2,[35311],[syngo,2,24,2,,,,,
023_NA3_035,2,[35311],[syngo,2,34,2,,,,,
023_NA3_036,2,[35311],[syngo,2,48,2,,,,,
023_NA3_038,2,[35311],[syngo,2,51,1,,,,,
023_NA3_039,2,[35311],[syngo,1,35,1,,,,,
023_NAA_001,2,[35311],[syngo,1,43,2,,,,,
023_NAA_002,2,[35311],[syngo,2,44,2,,,,,
023_NAA_003,2,[35311],[syngo,1,47,2,,,,,
023_NAA_005,2,[35311],[syngo,2,38,2,,,,,
023_NAA_006,2,[35311],[syngo,2,50,2,,,,,
023_NAA_007,2,[35311],[syngo,1,47,2,,,,,
023_NAA_009,2,[35311],[syngo,2,28,2,,,,,
023_NAA_010,2,[35311],[syngo,1,52,2,,,,,
023_NAA_011,2,[35311],[syngo,2,44,1,,,,,
023_NAA_012,2,[35311],[syngo,1,42,2,,,,,
023_NAA_013,2,[35311],[syngo,1,20,1,,,,,
023_NAA_014,2,[35311],[syngo,1,23,2,,,,,
023_NAA_015,2,[35311],[syngo,2,22,2,,,,,
023_NAA_016,2,[35311],[syngo,2,52,2,,,,,
023_NAA_017,2,[35311],[syngo,2,24,2,,,,,
023_NAA_022,2,[35311],[syngo,2,22,3,,,,,
023_NAA_023,2,[35311],[syngo,2,23,1,,,,,
023_NAA_024,2,[35311],[syngo,1,55,2,,,,,
023_NAA_025,2,[35311],[syngo,2,26,2,,,,,
023_NAA_026,2,[35311],[syngo,1,47,2,,,,,
023_NAA_027,2,[35311],[syngo,2,29,2,,,,,
023_NAA_028,2,[35311],[syngo,2,27,2,,,,,
023_NAA_029,2,[35311],[syngo,2,26,2,,,,,
023_PET_001-time1,2,[35311],[syngo,1,38,,,,,,
023_PET_002-time1,2,[35311],[syngo,2,28,,,,,,
023_PET_003-time1,2,[35311],[syngo,1,31,,,,,,
023_PET_004-time1,2,[35311],[syngo,1,42,,,,,,
023_PET_005-time1,2,[35311],[syngo,2,37,,,,,,
023_PET_006-time1,2,[35311],[syngo,1,40,,,,,,
023_PET_007-time1,2,[35311],[syngo,1,63,,,,,,
023_PET_008-time1,2,[35311],[syngo,2,19,,,,,,
023_PET_009-time1,2,[35311],[syngo,2,48,,,,,,
023_PET_010-time1,2,[35311],[syngo,2,26,,,,,,
023_PET_011-time1,2,[35311],[syngo,1,63,,,,,,
008_GNX_002,3,[35104],[syngo,1,24,1,,,,,
008_GNX_008,3,[35104],[syngo,2,52,,,,,,
008_GNX_013,3,[35104],[syngo,1,44,,,,,,
008_GNX_016,3,[35104],[syngo,1,28,,,,,,
008_MPG_004,3,[35104],[syngo,1,34,,,,,,
008_MPG_005,3,[35104],[syngo,2,30,,,,,,
008_MPG_006,3,[35104],[syngo,,,,,,,,
008_MPG_007,3,[35104],[syngo,2,44,,,,,,
008_MPG_009,3,[35104],[syngo,1,49,,,,,,
008_TMS_004,3,[35104],[syngo,1,63,2,,,,,
008_TMS_006,3,[35104],[syngo,1,50,2,,,,,
008_TMS_008,3,[35104],[syngo,1,55,,,,,,
008_TMS_010,3,[35104],[syngo,1,45,2,,,,,
008_TMS_011,3,[35104],[syngo,1,69,,,,,,
008_TMS_012,3,[35104],[syngo,2,35,,,,,,
008_TMS_015,3,[35104],[syngo,1,35,,,,,,
008_TMS_018,3,[35104],[syngo,1,64,,,,,,
008_TMS_021,3,[35104],[syngo,1,66,2,,,,,
008_TMS_022,3,[35104],[syngo,1,53,,,,,,
019_NA3_001,3,[35104],[syngo,1,49,2,,,,,
019_NA3_002,3,[35104],[syngo,,44,2,,,,,
019_NA3_003,3,[35104],[syngo,,,1,,,,,
019_NA3_004,3,[35104],[syngo,1,48,,,,,,
019_NA3_005,3,[35104],[syngo,1,60,2,,,,,
019_NA3_006,3,[35104],[syngo,1,45,2,,,,,
019_NA3_007,3,[35104],[syngo,1,45,2,,,,,
019_NA3_008,3,[35104],[syngo,1,53,2,,,,,
019_NA3_009,3,[35104],[syngo,1,47,2,,,,,
019_NA3_010,3,[35104],[syngo,1,31,2,,,,,
019_NA3_011,3,[35104],[syngo,2,23,2,,,,,
019_NAA_001,3,[35104],[syngo,1,28,,,,,,
019_NAA_002,3,[35104],[syngo,1,24,2,,,,,
019_NAA_003,3,[35104],[syngo,1,38,2,,,,,
019_NAA_004,3,[35104],[syngo,1,65,2,,,,,
019_NAA_006,3,[35104],[syngo,1,24,2,,,,,
019_NAA_007,3,[35104],[syngo,1,63,2,,,,,
019_NAA_008,3,[35104],[syngo,2,34,2,,,,,
019_NAA_009,3,[35104],[syngo,2,34,2,,,,,
019_NAA_010,3,[35104],[syngo,1,42,2,,,,,
019_NAA_011,3,[35104],[syngo,1,25,1,,,,,
019_NAA_012,3,[35104],[syngo,2,41,2,,,,,
019_NAA_013,3,[35104],[syngo,1,56,2,,,,,
019_NAA_014,3,[35104],[syngo,1,26,2,,,,,
019_NAA_015,3,[35104],[syngo,1,29,2,,,,,
019_NAA_016,3,[35104],[syngo,,,2,,,,,
019_NAA_017,3,[35104],[syngo,1,27,,,,,,
019_NAA_018,3,[35104],[syngo,1,48,2,,,,,
019_NAA_019,3,[35104],[syngo,1,31,2,,,,,
019_NAA_021,3,[35104],[syngo,1,51,2,,,,,
019_NAA_022,3,[35104],[syngo,1,30,2,,,,,
019_NAA_025,3,[35104],[syngo,1,28,2,,,,,
019_NAA_026,3,[35104],[syngo,1,28,2,,,,,
019_NAA_027,3,[35104],[syngo,1,,,,,,,
019_NAA_028,3,[35104],[syngo,1,24,,,,,,
019_NAA_029,3,[35104],[syngo,2,31,2,,,,,
019_NAA_030,3,[35104],[syngo,2,52,,,,,,
007_GNX_001,4,[17437],[2.6.3\2.6.3.7],1,44,2,,,,,
007_GNX_002,4,[17437],[2.6.3\2.6.3.7],1,34,2,,,,,
007_GNX_003,4,[17437],[2.6.3\2.6.3.7],1,31,3,,,,,
007_GNX_004,4,[17437],[2.6.3\2.6.3.7],1,35,2,,,,,
007_GNX_005,4,[17437],[3.2.3\3.2.3.0],1,58,2,,,,,
007_MPG_002,4,[17437],[2.6.3\2.6.3.7],1,53,1,,,,,
007_MPG_003,4,[17437],[2.6.3\2.6.3.7],1,43,2,,,,,
007_MPG_005,4,[17437],[2.6.3\2.6.3.7],1,51,1,,,,,
007_MPG_007,4,[17437],[2.6.3\2.6.3.7],1,44,2,,,,,
007_NA3_002,4,[17437],[2.6.3\2.6.3.7],2,45,2,,,,,
007_TBI_004,4,[17437],[2.6.3\2.6.3.7],1,22,1,,,,,
007_TBI_007,4,[17437],[2.6.3\2.6.3.7],1,25,1,,,,,
007_TBI_008,4,[17437],[2.6.3\2.6.3.7],1,32,2,,,,,
007_TBI_012,4,[17437],[2.6.3\2.6.3.7],1,47,2,,,,,
007_TBI_016,4,[17437],[3.2.3\3.2.3.1],1,33,2,,,,,
